episod,total_reward
340,-157.647152141
341,-129.487391699
342,0.0808023792425
343,-25.9559009134
344,-37.5011678904
345,-165.958753491
346,-164.304065709
347,-163.754500655
348,-168.277658186
349,-168.1560601
350,-171.69549131
351,-167.215116843
352,-170.472299852
353,-165.875345101
354,-166.566832672
355,-162.029243009
356,-169.782282985
357,-168.784565188
358,-160.695595866
359,-163.975639154
360,-168.736660888
361,-165.314295371
362,-166.323413026
363,-166.06277119
364,-165.282124444
365,-165.491563486
366,-167.597537926
367,-167.722257856
368,-169.520654323
369,-165.047373218
370,-163.639539842
371,-167.676504505
372,-166.32286867
373,-164.002267764
374,-166.298558573
375,-166.22408561
376,-162.574226679
377,-159.811760874
378,-160.935701394
379,-161.627543594
380,-165.692360462
381,-167.770829335
382,-167.544304938
383,-169.469240892
384,-167.343480302
385,-169.188393173
386,-161.202305268
387,-164.992340125
388,-168.963797843
389,-168.904919807
390,-169.845261643
391,-165.474411669
392,-165.643856007
393,-166.847360237
394,-166.687982824
395,-167.605677293
396,-171.350686951
397,-169.000892487
398,-168.171699047
399,-162.189526989
400,-163.551640795
401,-165.010802883
402,-162.287040389
403,-168.322459251
404,-163.125341603
405,-166.37994985
406,-167.204551582
407,-169.357815919
408,-163.413568363
409,-165.543020411
410,-165.888944056
411,-165.43137905
412,-161.344862409
413,-165.27149927
414,-167.496405984
415,-163.245877608
416,-166.278659152
417,-169.025032175
418,-166.053587929
419,-164.285926964
420,-165.012383289
421,-165.995987962
422,-168.644511232
423,-168.850888123
424,-164.111227442
425,-166.564037538
426,-164.845435856
427,-166.675880855
428,-160.620763747
429,-164.700273342
430,-170.533508604
431,-163.985485091
432,-165.437707398
433,-168.09189101
434,-166.263262871
435,-161.968918395
436,-160.077969568
437,-171.233110295
438,-161.720294433
439,-166.809032108
440,-165.422144697
441,-166.629819853
442,-160.241881421
443,-165.65402781
444,-168.100920346
445,-165.842939225
446,-167.502869404
447,-164.340577606
448,-162.682314808
449,-164.97144728
450,-162.230753939
451,-164.779776091
452,-165.585706639
453,-160.323788392
454,-163.219030546
455,-163.076855331
456,-166.741277249
457,-164.83346365
458,-166.588332507
459,-162.990522703
460,-162.0276685
461,-161.886964733
462,-167.057196535
